                       Time(s)                         E(mV)                         I(mA)                         Q(mC)                 Capacity(mAh)                    Energy(Wh)                          P(W)
                      0.100000                   1725.252319                      0.998958                      0.099896                      0.000028                      0.000000                      0.001723
                      0.200000                   1731.964722                      0.998958                      0.199792                      0.000055                      0.000000                      0.001730
                      0.300000                   1738.005981                      0.998873                      0.299683                      0.000083                      0.000000                      0.001736
                      0.400000                   1742.956421                      0.998788                      0.399566                      0.000111                      0.000000                      0.001741
                      0.500000                   1747.990601                      0.998958                      0.499453                      0.000139                      0.000000                      0.001746
                      0.600000                   1752.269775                      0.998788                      0.599341                      0.000166                      0.000000                      0.001750
                      0.700000                   1756.465088                      0.999127                      0.699236                      0.000194                      0.000000                      0.001755
                      0.800000                   1759.989136                      0.998788                      0.799132                      0.000222                      0.000000                      0.001758
                      0.900000                   1763.764771                      0.998788                      0.899011                      0.000250                      0.000000                      0.001762
                      1.000000                   1767.204956                      0.999297                      0.998915                      0.000277                      0.000000                      0.001766
                      1.100000                   1770.896851                      0.998958                      1.098828                      0.000305                      0.000001                      0.001769
                      1.200000                   1774.336914                      0.998958                      1.198724                      0.000333                      0.000001                      0.001772
                      1.300000                   1777.021851                      0.998873                      1.298615                      0.000361                      0.000001                      0.001775
                      1.400000                   1780.378052                      0.999127                      1.398515                      0.000388                      0.000001                      0.001779
                      1.500000                   1783.230835                      0.998958                      1.498419                      0.000416                      0.000001                      0.001781
                      1.600000                   1785.915894                      0.998873                      1.598311                      0.000444                      0.000001                      0.001784
                      1.700000                   1788.852417                      0.998958                      1.698202                      0.000472                      0.000001                      0.001787
                      1.800000                   1791.285889                      0.999127                      1.798107                      0.000499                      0.000001                      0.001790
                      1.900000                   1793.802979                      0.998873                      1.898007                      0.000527                      0.000001                      0.001792
                      2.000000                   1796.403931                      0.999297                      1.997915                      0.000555                      0.000001                      0.001795
                      2.100000                   1798.921143                      0.998958                      2.097828                      0.000583                      0.000001                      0.001797
                      2.200000                   1801.102661                      0.998958                      2.197724                      0.000610                      0.000001                      0.001799
                      2.300000                   1803.368042                      0.999127                      2.297628                      0.000638                      0.000001                      0.001802
                      2.400000                   1805.801270                      0.999042                      2.397536                      0.000666                      0.000001                      0.001804
                      2.500000                   1807.647339                      0.999212                      2.497449                      0.000694                      0.000001                      0.001806
                      2.600000                   1809.828857                      0.999212                      2.597370                      0.000721                      0.000001                      0.001808
                      2.700000                   1811.926514                      0.999042                      2.697283                      0.000749                      0.000001                      0.001810
                      2.800000                   1813.940186                      0.999042                      2.797187                      0.000777                      0.000001                      0.001812
                      2.900000                   1815.953857                      0.999042                      2.897091                      0.000805                      0.000001                      0.001814
                      3.000000                   1817.715942                      0.999212                      2.997004                      0.000833                      0.000001                      0.001816
                      3.100000                   1819.729736                      0.999042                      3.096917                      0.000860                      0.000002                      0.001818
                      3.200000                   1821.743286                      0.998873                      3.196813                      0.000888                      0.000002                      0.001820
                      3.300000                   1823.505371                      0.999212                      3.296717                      0.000916                      0.000002                      0.001822
                      3.400000                   1825.351318                      0.999212                      3.396638                      0.000944                      0.000002                      0.001824
                      3.500000                   1827.029419                      0.998958                      3.496547                      0.000971                      0.000002                      0.001825
                      3.600000                   1828.791504                      0.999127                      3.596451                      0.000999                      0.000002                      0.001827
                      3.700000                   1830.469482                      0.999127                      3.696363                      0.001027                      0.000002                      0.001829
                      3.800000                   1832.399292                      0.999042                      3.796272                      0.001055                      0.000002                      0.001831
                      3.900000                   1833.993530                      0.999297                      3.896189                      0.001082                      0.000002                      0.001833
