                       Time(s)                        Zre(Ω)                        Zim(Ω)                          Z(Ω)                      Freq(Hz)                      Phase(°)                        EDC(V)
                      0.128000                   1479.524292                    -50.156605                   1480.374268                  10000.000000                      1.941612                      0.000000
                      0.289142                   1500.658691                    -58.051556                   1501.781128                   7943.282227                      2.215328                      0.000000
                      0.492009                   1515.295776                    -47.150227                   1516.029175                   6309.573242                      1.782251                      0.000000
                      0.747402                   1529.435303                    -34.057384                   1529.814453                   5011.872070                      1.275649                      0.000000
                      1.068924                   1551.374756                    -28.398224                   1551.634644                   3981.071533                      1.048694                      0.000000
                      1.473696                   1581.557739                    -13.731826                   1581.617310                   3162.277588                      0.497456                      0.000000
                      1.983273                   1615.399780                     -4.698737                   1615.406616                   2511.886230                      0.166657                      0.000000
                      1.068924                   1551.427490                    -28.208971                   1551.683960                   3981.071533                      1.041671                      0.000000
                      1.473696                   1581.968994                    -18.565214                   1582.077881                   3162.277588                      0.672364                      0.000000
                      1.983273                   1614.479248                     -5.869585                   1614.489868                   2511.886230                      0.208303                      0.000000
                      2.624793                   1651.156250                      0.179804                   1651.156250                   1995.262329                     -0.006239                      0.000000
                      3.432418                   1704.453125                      4.104763                   1704.458008                   1584.893188                     -0.137983                      0.000000
                      4.449158                   1763.222290                      8.415780                   1763.242432                   1258.925293                     -0.273468                      0.000000
                      4.481158                   1807.005493                     14.704879                   1807.065308                   1000.000000                     -0.466246                      0.000000
                      4.521444                   1827.630493                     17.872381                   1827.717896                    794.328247                     -0.560277                      0.000000
                      4.572160                   1835.252808                     16.499645                   1835.327026                    630.957336                     -0.515098                      0.000000
                      4.636009                   1837.882202                     16.726774                   1837.958374                    501.187225                     -0.521441                      0.000000
                      4.716389                   1844.025146                     14.869326                   1844.085083                    398.107178                     -0.461995                      0.000000
                      4.817582                   1854.342285                     13.025797                   1854.388062                    316.227753                     -0.402467                      0.000000
                      4.944976                   1859.320190                     12.357316                   1859.361206                    251.188629                     -0.380791                      0.000000
                      5.105356                   1859.510010                     12.129496                   1859.549561                    199.526230                     -0.373732                      0.000000
                      5.307262                   1878.316284                     14.911710                   1878.375488                    158.489319                     -0.454854                      0.000000
                      5.561448                   1909.238281                     18.712677                   1909.329956                    125.892532                     -0.561545                      0.000000
                      5.601448                   1947.230713                     19.717402                   1947.330566                    100.000000                     -0.580150                      0.000000
