Time(s)                       E(mV)                         I(mA)                         Q(mC)                         Capacity(mAh)                 Energy(Wh)                    P(W)
0.1                           3015.013                      962.5549                      96.25549                      0.02673764                    8.061434E-05                  2.902116
0.2                           3015.626                      962.8002                      192.5233                      0.05347868                    0.0001612471                  2.903446
0.3                           3015.364                      963.0457                      288.8156                      0.08022654                    0.0002419052                  2.903933
0.4                           3015.101                      963.0457                      385.1201                      0.1069778                     0.0003225665                  2.90368
0.5                           3015.802                      963.0457                      481.4247                      0.1337291                     0.0004032336                  2.904355
0.6                           3015.013                      963.291                       577.7415                      0.1604837                     0.0004839099                  2.904335
0.7                           3014.926                      962.8002                      674.0461                      0.187235                      0.0005645641                  2.902771
0.8                           3014.926                      962.3095                      770.3016                      0.2139727                     0.0006451762                  2.901292
0.9                           3015.276                      962.0642                      866.5203                      0.2407001                     0.000725762                   2.900889
1                             3012.912                      961.3281                      962.6899                      0.2674139                     0.0008062798                  2.896397
1.1                           3014.138                      962.3095                      1058.872                      0.2941311                     0.0008867928                  2.900533
1.2                           3015.013                      963.291                       1155.152                      0.3208755                     0.000967416                   2.904335
