Time(s)                       Zre(Ω)                       Zim(Ω)                       Z(Ω)                         Freq(Hz)                      Phase(°)                     EDC(mV)                       CS(F)                         
1                             1.025115                      0.02881668                    1.02552                       10                            1.610199                      0.09675135                    -0.5523015
2                             1.025185                      0.02864034                    1.025585                      10                            1.600243                      0.09675135                    -0.555702
3                             1.025257                      0.02887408                    1.025663                      10                            1.613182                      0.09675135                    -0.5512035
4                             1.025093                      0.02901538                    1.025504                      10                            1.62133                       0.09675135                    -0.5485193
5                             1.024988                      0.02873619                    1.02539                       10                            1.605904                      0.09675135                    -0.5538484
6                             1.025133                      0.0286031                     1.025532                      10                            1.598244                      0.09675135                    -0.5564254
7                             1.025172                      0.02893944                    1.02558                       10                            1.616966                      0.09675135                    -0.5499585
8                             1.025117                      0.02860144                    1.025516                      10                            1.598175                      0.09675135                    -0.5564578
