Time(s)                       E(mV)                         I(mA)                         Q(mC)                         Capacity(mAh)                 Energy(Wh)                    P(W)
0.1                           70.85763                      0.1306906                     0.01306906                    3.630294E-06                  2.57234E-10                   9.260423E-06
0.2                           71.19315                      0.04900897                    0.02205404                    6.126121E-06                  4.343108E-10                  3.489103E-06
0.3                           71.27703                      0.1143543                     0.0302222                     8.395054E-06                  5.959765E-10                  8.150831E-06
0.4                           71.02538                      0.06534529                    0.03920718                    1.089088E-05                  7.736432E-10                  4.641174E-06
0.5                           71.44479                      0.09801793                    0.04737534                    1.315982E-05                  9.35366E-10                   7.002871E-06
0.6                           71.02538                      0.06534529                    0.0555435                     1.542875E-05                  1.097089E-09                  4.641174E-06
0.7                           71.27703                      0.04900897                    0.06126121                    1.7017E-05                    1.210066E-09                  3.493214E-06
0.8                           71.36091                      0.01633632                    0.06452847                    1.792458E-05                  1.274775E-09                  1.165775E-06
0.9                           70.77374                      0.09801793                    0.07024618                    1.951283E-05                  1.387315E-09                  6.937095E-06
1                             71.44479                      0.09801793                    0.08004797                    2.223555E-05                  1.580925E-09                  7.002871E-06
1.1                           70.68986                      0.01633632                    0.08576569                    2.38238E-05                   1.694226E-09                  1.154812E-06
1.2                           71.02538                      0.04900897                    0.08903296                    2.473138E-05                  1.758611E-09                  3.48088E-06
1.3                           70.94151                      0.03267264                    0.09311704                    2.586584E-05                  1.839149E-09                  2.317847E-06
1.4                           70.60598                      0.1470269                     0.102102                      2.836167E-05                  2.015522E-09                  1.038098E-05
1.5                           70.5221                       0.08168161                    0.1135374                     3.153818E-05                  2.239706E-09                  5.760359E-06
1.6                           70.60598                      0.1306906                     0.124156                      3.448779E-05                  2.447872E-09                  9.227537E-06
1.7                           71.02538                      0.03267264                    0.1323242                     3.675672E-05                  2.608262E-09                  2.320587E-06
1.8                           70.60598                      0                             0.1339578                     3.721051E-05                  2.640493E-09                  0
1.9                           70.94151                      0.01633632                    0.1347747                     3.74374E-05                   2.656589E-09                  1.158923E-06
2                             70.77374                      0.08168161                    0.1396756                     3.879877E-05                  2.752976E-09                  5.780913E-06
2.1                           70.68986                      0.01633632                    0.1445765                     4.016013E-05                  2.849305E-09                  1.154812E-06
2.2                           70.35434                      0.1306906                     0.1519278                     4.220217E-05                  2.993048E-09                  9.194649E-06
2.3                           69.93493                      0.03267264                    0.160096                      4.44711E-05                   3.152486E-09                  2.284959E-06
2.4                           70.68986                      0.1633632                     0.1698978                     4.719382E-05                  3.344613E-09                  1.154812E-05
2.5                           70.35434                      0.04900897                    0.1805164                     5.014343E-05                  3.552892E-09                  3.447993E-06
2.6                           70.01881                      0.1470269                     0.1903182                     5.286615E-05                  3.743762E-09                  1.029465E-05
2.7                           70.18658                      0.06534529                    0.2009368                     5.581577E-05                  3.950443E-09                  4.586362E-06
2.8                           70.27045                      0.01633632                    0.2050208                     5.695023E-05                  4.030086E-09                  1.147961E-06
2.9                           70.01881                      0.08168161                    0.2099217                     5.83116E-05                   4.125464E-09                  5.719249E-06
3                             69.85105                      0.04900897                    0.2164563                     6.012674E-05                  4.252445E-09                  3.423328E-06
3.1                           70.68986                      0.06534529                    0.222174                      6.1715E-05                    4.364147E-09                  4.619249E-06
3.2                           69.68329                      0.08168161                    0.2295253                     6.375703E-05                  4.507356E-09                  5.691843E-06
3.3                           69.68329                      0.1143543                     0.2393271                     6.647976E-05                  4.697084E-09                  7.968581E-06
3.4                           69.34776                      0.01633632                    0.2458616                     6.82949E-05                   4.823494E-09                  1.132887E-06
3.5                           69.93493                      0.06534529                    0.2499457                     6.942937E-05                  4.9027E-09                    4.569918E-06
3.6                           69.34776                      0.06534529                    0.2564802                     7.124451E-05                  5.029109E-09                  4.531549E-06
3.7                           69.09612                      0.06534529                    0.2630148                     7.305967E-05                  5.154757E-09                  4.515106E-06
3.8                           69.76717                      0.06534529                    0.2695493                     7.487481E-05                  5.280786E-09                  4.558956E-06
3.9                           69.76717                      0.08168161                    0.2769006                     7.691685E-05                  5.423253E-09                  5.698694E-06
4                             69.59941                      0.06534529                    0.284252                      7.89589E-05                   5.565568E-09                  4.547994E-06
4.1                           69.01224                      0.08168161                    0.2916034                     8.100093E-05                  5.707026E-09                  5.63703E-06
4.2                           69.85105                      0.08168161                    0.2997715                     8.326986E-05                  5.864562E-09                  5.705547E-06
4.3                           70.01881                      0.1143543                     0.3095733                     8.599258E-05                  6.055013E-09                  8.006949E-06
4.4                           69.18                         0.06534529                    0.3185583                     8.848841E-05                  6.229007E-09                  4.520587E-06
4.5                           69.93493                      0.03267264                    0.3234592                     8.984977E-05                  6.323529E-09                  2.284959E-06
