Time(s)                       E(mV)                         I(mA)                         
1.54                          -693.2999                     -0.6111605                    
1.55                          -691.2029                     -0.6093137                    
1.56                          -689.6092                     -0.6076347                    
1.57                          -687.7638                     -0.6057879                    
1.58                          -685.6667                     -0.6039411                    
1.59                          -683.5697                     -0.6021782                    
1.6                           -681.4727                     -0.6002474                    
1.61                          -679.7111                     -0.5983166                    
1.62                          -677.6981                     -0.5967216                    
1.63                          -675.0138                     -0.5950427                    
1.64                          -672.9168                     -0.5928601                    
1.65                          -671.4908                     -0.5907614                    
1.66                          -669.3099                     -0.5891664                    
1.67                          -667.2968                     -0.5874035                    
1.68                          -665.3675                     -0.5858086                    
1.69                          -663.2705                     -0.5833741                    
1.7                           -661.7606                     -0.5825347                    
1.71                          -659.412                      -0.5800162                    
1.72                          -657.3988                     -0.5780855                    
1.73                          -655.5534                     -0.5762386                    
1.74                          -653.2886                     -0.5746436                    
1.75                          -651.1916                     -0.5728807                    
1.76                          -649.0945                     -0.5711179                    
1.77                          -647.2491                     -0.5695229                    
1.78                          -645.7393                     -0.5675921                    
1.79                          -643.3906                     -0.5654935                    
1.8                           -641.7969                     -0.5638984                    
1.81                          -639.7837                     -0.5621355                    
1.82                          -637.6028                     -0.559869                     
1.83                          -634.8348                     -0.5586098                    
1.84                          -633.1571                     -0.5564272                    
1.85                          -631.3117                     -0.5546643                    
1.86                          -629.1309                     -0.5529854                    
1.87                          -627.2854                     -0.5513064                    
1.88                          -625.3561                     -0.5497114                    
1.89                          -623.5947                     -0.5470251                    
1.9                           -620.9943                     -0.5453462                    
1.91                          -619.4845                     -0.5440031                    
1.92                          -617.4714                     -0.5419044                    
1.93                          -615.4582                     -0.5402254                    
1.94                          -613.0256                     -0.5381268                    
1.95                          -611.2642                     -0.536196                     
1.96                          -609.3349                     -0.534517                     
1.97                          -607.3217                     -0.53309                      
1.98                          -605.5602                     -0.5312431                    
1.99                          -603.5471                     -0.5295642                    
2                             -601.3661                     -0.5275495                    
2.01                          -599.6885                     -0.5257866                    
2.02                          -597.256                      -0.5237719                    
2.03                          -595.4944                     -0.5220929                    
2.04                          -593.2297                     -0.5199103                    
2.05                          -590.9649                     -0.5185671                    
2.06                          -589.2873                     -0.5168883                    
2.07                          -587.358                      -0.5146217                    
2.08                          -585.261                      -0.5130267                    
2.09                          -583.4995                     -0.5111799                    
2.1                           -580.983                      -0.5091651                    
2.11                          -579.2216                     -0.5078123                    
2.12                          -577.7117                     -0.5061685                    
2.13                          -575.4469                     -0.504181                     
2.14                          -573.1821                     -0.5028055                    
2.15                          -571.4206                     -0.5002309                    
2.16                          -569.4913                     -0.4987297                    
2.17                          -567.3104                     -0.4967588                    
2.18                          -565.2134                     -0.4949138                    
2.19                          -563.4518                     -0.4935468                    
2.2                           -561.3549                     -0.4913998                    
2.21                          -558.9222                     -0.4895213                    
2.22                          -557.3286                     -0.4878439                    
2.23                          -555.2315                     -0.4859654                    
2.24                          -553.1345                     -0.484439                     
2.25                          -550.8697                     -0.4822837                    
2.26                          -549.0243                     -0.4805141                    
2.27                          -546.9272                     -0.4785852                    
2.28                          -544.9141                     -0.4767737                    
2.29                          -542.9849                     -0.4756164                    
2.3                           -540.8878                     -0.4729243                    
2.31                          -539.2102                     -0.4714482                    
2.32                          -537.2809                     -0.469838                     
2.33                          -535.4355                     -0.4678253                    
2.34                          -533.4224                     -0.4661731                    
2.35                          -531.4931                     -0.4640597                    
2.36                          -529.48                       -0.4625585                    
2.37                          -526.9636                     -0.4601516                    
2.38                          -525.1182                     -0.4588852                    
2.39                          -523.2728                     -0.4567634                    
2.4                           -521.5952                     -0.4553125                    
2.41                          -518.9948                     -0.4529392                    
2.42                          -516.9817                     -0.4514128                    
2.43                          -515.3041                     -0.449551                     
2.44                          -513.1232                     -0.4477982                    
2.45                          -511.5294                     -0.446297                     
2.46                          -509.1807                     -0.4439655                    
2.47                          -506.8321                     -0.4420366                    
2.48                          -505.1544                     -0.4403929                    
2.49                          -503.0574                     -0.4386568                    
2.5                           -501.212                      -0.4369712                    
2.51                          -499.5344                     -0.4350926                    
2.52                          -497.5213                     -0.4331637                    
2.53                          -495.1726                     -0.4312935                    
2.54                          -493.4111                     -0.4296749                    
2.55                          -491.3979                     -0.4281904                    
2.56                          -489.3009                     -0.4258841                    
2.57                          -487.7072                     -0.4237959                    
2.58                          -485.023                      -0.4224624                    
2.59                          -482.8421                     -0.4202819                    
2.6                           -481.2483                     -0.4186382                    
2.61                          -479.0674                     -0.417095                     
2.62                          -477.3059                     -0.4151074                    
2.63                          -474.7895                     -0.412994                     
2.64                          -473.1957                     -0.4118115                    
2.65                          -471.1826                     -0.4095975                    
2.66                          -469.5049                     -0.4083982                    
2.67                          -467.2402                     -0.4058738                    
2.68                          -465.1431                     -0.4041714                    
2.69                          -463.2977                     -0.4021418                    
2.7                           -461.2007                     -0.4004058                    
2.71                          -459.0198                     -0.3988627                    
2.72                          -457.3422                     -0.3965312                    
2.73                          -455.1613                     -0.3951139                    
2.74                          -453.0642                     -0.393034                     
2.75                          -451.135                      -0.3914406                    
2.76                          -449.2057                     -0.3896627                    
2.77                          -447.1925                     -0.3877002                    
2.78                          -444.9277                     -0.3858551                    
2.79                          -442.7468                     -0.3839262                    
2.8                           -441.0692                     -0.3822992                    
2.81                          -438.8044                     -0.3807897                    
2.82                          -437.2107                     -0.3785757                    
2.83                          -435.2814                     -0.3768312                    
2.84                          -433.3522                     -0.3752881                    
2.85                          -431.2551                     -0.3729063                    
2.86                          -429.3258                     -0.3715309                    
2.87                          -427.3966                     -0.3695098                    
2.88                          -425.2157                     -0.3679247                    
2.89                          -423.1187                     -0.3658113                    
2.9                           -421.2733                     -0.364285                     
2.91                          -419.0085                     -0.362398                     
2.92                          -417.0792                     -0.3606536                    
2.93                          -415.1499                     -0.358666                     
2.94                          -412.969                      -0.3568628                    
2.95                          -410.9559                     -0.3549507                    
2.96                          -409.1944                     -0.3530218                    
2.97                          -406.8457                     -0.3514116                    
2.98                          -405.252                      -0.3494827                    
2.99                          -403.4066                     -0.347797                     
3                             -401.3095                     -0.3457507                    
3.01                          -399.2964                     -0.3441572                    
3.02                          -397.1155                     -0.3423877                    
3.03                          -394.9346                     -0.3406936                    
3.04                          -392.9214                     -0.3386808                    
3.05                          -390.9083                     -0.3368106                    
3.06                          -389.3145                     -0.3351837                    
3.07                          -387.3853                     -0.333456                     
3.08                          -385.3721                     -0.3313762                    
3.09                          -383.1912                     -0.3296737                    
3.1                           -380.9264                     -0.3281557                    
3.11                          -379.2488                     -0.3259165                    
3.12                          -377.4034                     -0.3242392                    
3.13                          -374.9708                     -0.3225032                    
3.14                          -372.9577                     -0.3206833                    
3.15                          -370.7768                     -0.3184273                    
3.16                          -369.4347                     -0.3169429                    
3.17                          -367.1699                     -0.3152404                    
3.18                          -364.989                      -0.3132948                    
3.19                          -362.8081                     -0.31124                      
3.2                           -361.0466                     -0.3094705                    
3.21                          -359.0334                     -0.3079274                    
3.22                          -356.7686                     -0.3056378                    
3.23                          -354.9232                     -0.3039857                    
3.24                          -352.994                      -0.3023335                    
3.25                          -350.7292                     -0.3006395                    
3.26                          -348.9677                     -0.2988615                    
3.27                          -347.0384                     -0.2968991                    
3.28                          -345.1092                     -0.2949869                    
3.29                          -343.0121                     -0.2931419                    
3.3                           -341.5023                     -0.2916826                    
3.31                          -339.2375                     -0.2896782                    
3.32                          -336.9727                     -0.2878332                    
3.33                          -334.9595                     -0.2860385                    
3.34                          -333.1141                     -0.2841263                    
3.35                          -330.8494                     -0.2822478                    
3.36                          -329.2556                     -0.2809562                    
3.37                          -326.9069                     -0.2784067                    
3.38                          -324.8938                     -0.2768133                    
3.39                          -323.0484                     -0.2749095                    
3.4                           -321.1191                     -0.2730645                    
3.41                          -319.0221                     -0.2714543                    
3.42                          -317.0928                     -0.2693241                    
3.43                          -315.1636                     -0.2679319                    
3.44                          -312.9827                     -0.2659108                    
3.45                          -311.1373                     -0.264049                     
3.46                          -309.5435                     -0.262422                     
3.47                          -307.3626                     -0.260275                     
3.48                          -304.7623                     -0.2583796                    
3.49                          -303.0847                     -0.2567191                    
3.5                           -300.6521                     -0.2552598                    
3.51                          -298.9745                     -0.2530206                    
3.52                          -296.9614                     -0.251184                     
3.53                          -294.6966                     -0.2495319                    
3.54                          -292.7673                     -0.2479803                    
3.55                          -291.3413                     -0.2458837                    
3.56                          -289.1604                     -0.2444244                    
3.57                          -287.0634                     -0.2421349                    
3.58                          -284.9663                     -0.2406002                    
3.59                          -282.9532                     -0.2387216                    
3.6                           -281.0239                     -0.2366249                    
3.61                          -279.0108                     -0.2353837                    
3.62                          -276.8299                     -0.233111                     
3.63                          -275.1523                     -0.2314337                    
3.64                          -273.3907                     -0.2295215                    
3.65                          -271.2098                     -0.2282384                    
3.66                          -268.6095                     -0.2261334                    
3.67                          -267.0158                     -0.2237348                    
3.68                          -264.8349                     -0.2225272                    
3.69                          -262.9056                     -0.2205899                    
3.7                           -261.228                      -0.2187029                    
3.71                          -259.2987                     -0.2175623                    
3.72                          -256.95                       -0.2148367                    
3.73                          -255.0208                     -0.2131091                    
3.74                          -252.756                      -0.2114318                    
3.75                          -251.33                       -0.2095448                    
3.76                          -248.8136                     -0.20827                      
3.77                          -247.2198                     -0.2058966                    
3.78                          -244.7873                     -0.2041355                    
3.79                          -242.7741                     -0.2022233                    
3.8                           -240.9287                     -0.2004286                    
3.81                          -239.2511                     -0.1989693                    
3.82                          -237.3218                     -0.1966714                    
3.83                          -235.0571                     -0.1948264                    
3.84                          -232.7922                     -0.1928304                    
3.85                          -230.863                      -0.1913292                    
3.86                          -228.5982                     -0.1895009                    
3.87                          -226.9206                     -0.1878572                    
3.88                          -224.9913                     -0.1860205                    
3.89                          -222.9781                     -0.183731                     
3.9                           -220.3778                     -0.1823305                    
3.91                          -218.7841                     -0.1806028                    
3.92                          -216.771                      -0.1785146                    
3.93                          -215.1772                     -0.1766527                    
3.94                          -212.9963                     -0.1752438                    
3.95                          -210.9831                     -0.1730885                    
3.96                          -208.8861                     -0.1713525                    
3.97                          -206.7052                     -0.1697422                    
3.98                          -204.9437                     -0.1678888                    
3.99                          -203.0144                     -0.1659012                    
4                             -200.6658                     -0.1643665                    
4.01                          -198.9881                     -0.1623118                    
4.02                          -196.975                      -0.1601145                    
4.03                          -195.1296                     -0.1589404                    
4.04                          -192.6971                     -0.1568605                    
4.05                          -190.8517                     -0.1552671                    
4.06                          -189.0901                     -0.1529524                    
4.07                          -186.9092                     -0.1512583                    
4.08                          -185.0638                     -0.1496648                    
4.09                          -182.6313                     -0.1475682                    
4.1                           -180.8698                     -0.1461593                    
4.11                          -178.8566                     -0.1440375                    
4.12                          -176.8435                     -0.142335                     
4.13                          -174.7465                     -0.1402635                    
4.14                          -172.6494                     -0.1385107                    
4.15                          -171.2235                     -0.1367999                    
4.16                          -169.0426                     -0.1347116                    
4.17                          -166.7778                     -0.1330679                    
4.18                          -164.6807                     -0.1313151                    
4.19                          -163.0031                     -0.1295875                    
4.2                           -160.6544                     -0.1279521                    
4.21                          -159.1446                     -0.1257716                    
4.22                          -157.1314                     -0.1240859                    
4.23                          -154.4472                     -0.1225931                    
4.24                          -152.7696                     -0.1204126                    
4.25                          -150.4209                     -0.1186011                    
4.26                          -148.5755                     -0.1171334                    
4.27                          -146.5624                     -0.1146007                    
4.28                          -144.717                      -0.1131918                    
4.29                          -142.62                       -0.1115145                    
4.3                           -141.1101                     -0.1099797                    
4.31                          -139.0131                     -0.1075644                    
4.32                          -136.8322                     -0.1059458                    
4.33                          -134.819                      -0.1041259                    
4.34                          -132.5542                     -0.1021802                    
4.35                          -130.7088                     -0.1004526                    
4.36                          -128.7796                     -0.09864949                   
4.37                          -126.7664                     -0.09674574                   
4.38                          -124.8372                     -0.09490909                   
4.39                          -122.5724                     -0.09310598                   
4.4                           -120.9786                     -0.0913532                    
4.41                          -118.5461                     -0.08955009                   
4.42                          -116.9523                     -0.087487                     
4.43                          -114.6037                     -0.08602773                   
4.44                          -112.5066                     -0.08415754                   
4.45                          -110.9129                     -0.08211122                   
4.46                          -108.5642                     -0.08084486                   
4.47                          -107.0544                     -0.07832889                   
4.48                          -104.7896                     -0.077138                     
4.49                          -103.1119                     -0.07513361                   
4.5                           -100.931                      -0.07307891                   
4.51                          -98.58237                     -0.07155256                   
4.52                          -97.0725                      -0.06943915                   
4.53                          -94.55607                     -0.06771991                   
4.54                          -92.96232                     -0.06600066                   
4.55                          -91.20081                     -0.06421433                   
4.56                          -89.01991                     -0.06243638                   
4.57                          -87.00676                     -0.06023911                   
4.58                          -84.90973                     -0.05855341                   
4.59                          -82.72881                     -0.05716963                   
4.6                           -81.13508                     -0.05512331                   
4.61                          -78.61864                     -0.05321118                   
4.62                          -76.52161                     -0.0512655                    
4.63                          -74.84399                     -0.04943724                   
4.64                          -72.83084                     -0.0475251                    
4.65                          -70.90157                     -0.04594843                   
4.66                          -68.97231                     -0.04466529                   
4.67                          -66.45586                     -0.0418558                    
4.68                          -64.94601                     -0.04044686                   
4.69                          -62.84898                     -0.03868568                   
4.7                           -61.08747                     -0.0368071                    
4.71                          -58.7388                      -0.03530741                   
4.72                          -56.64177                     -0.03324888                   
4.73                          -54.7125                      -0.03156935                   
4.74                          -52.951                       -0.02937916                   
4.75                          -50.2668                      -0.02803                      
4.76                          -48.67306                     -0.02611485                   
4.77                          -46.74379                     -0.02405128                   
4.78                          -44.73064                     -0.02236085                   
4.79                          -42.96914                     -0.02049936                   
4.8                           -40.53659                     -0.01868064                   
4.81                          -39.02672                     -0.01740275                   
4.82                          -36.84581                     -0.01492412                   
4.83                          -34.6649                      -0.01316074                   
4.84                          -32.73563                     -0.01131351                   
4.85                          -30.89025                     -0.009519098                  
4.86                          -28.96098                     -0.00804584                   
4.87                          -26.86395                     -0.005500129                  
4.88                          -24.8508                      -0.004449478                  
4.89                          -22.33437                     -0.002277742                  
4.9                           -20.82451                     -0.0005110055                 
4.91                          -18.6436                      0.001174396                   
4.92                          -16.63045                     0.003236288                   
4.93                          -14.6173                      0.005192527                   
4.94                          -12.60415                     0.006793239                   
