                       Time(s)                        Zre(Ω)                        Zim(Ω)                          Z(Ω)                      Freq(Hz)                      Phase(°)                        EDC(V)
                      0.128000                     14.444688                      1.632214                     14.536613                  10000.000000                     -6.446936                      0.000000
                      0.289142                     14.676335                      1.478992                     14.750669                   7943.282227                     -5.754494                      0.000000
                      0.492009                     14.886234                      1.338011                     14.946245                   6309.573242                     -5.136082                      0.000000
                      0.747402                     15.070111                      1.208756                     15.118510                   5011.872070                     -4.585812                      0.000000
                      1.068924                     15.239639                      1.096978                     15.279070                   3981.071533                     -4.117156                      0.000000
                      1.473696                     15.405675                      1.002522                     15.438260                   3162.277588                     -3.723264                      0.000000
                      1.983273                     15.565756                      0.926238                     15.593289                   2511.886230                     -3.405360                      0.000000
                      1.068924                     15.240211                      1.097209                     15.279656                   3981.071533                     -4.117867                      0.000000
                      1.473696                     15.404556                      1.000925                     15.437040                   3162.277588                     -3.717619                      0.000000
                      1.983273                     15.567038                      0.929371                     15.594755                   2511.886230                     -3.416573                      0.000000
                      2.624793                     15.750836                      0.883889                     15.775618                   1995.262329                     -3.211898                      0.000000
                      3.432418                     15.961483                      0.847792                     15.983982                   1584.893188                     -3.040401                      0.000000
                      4.449158                     16.214689                      0.836325                     16.236242                   1258.925293                     -2.952599                      0.000000
                      4.481158                     16.496559                      0.852059                     16.518549                   1000.000000                     -2.956741                      0.000000
                      4.521444                     16.696707                      0.864299                     16.719063                    794.328247                     -2.963252                      0.000000
                      4.572160                     16.825380                      0.866254                     16.847666                    630.957336                     -2.947269                      0.000000
                      4.636009                     16.960287                      0.870319                     16.982603                    501.187225                     -2.937561                      0.000000
                      4.716389                     17.116526                      0.883848                     17.139330                    398.107178                     -2.955964                      0.000000
                      4.817582                     17.278259                      0.899292                     17.301647                    316.227753                     -2.979419                      0.000000
                      4.944976                     17.432787                      0.931947                     17.457680                    251.188629                     -3.060088                      0.000000
                      5.105356                     17.651499                      0.975378                     17.678427                    199.526230                     -3.162807                      0.000000
                      5.307262                     17.840189                      1.000163                     17.868202                    158.489319                     -3.208778                      0.000000
                      5.561448                     17.996391                      1.006759                     18.024530                    125.892532                     -3.201918                      0.000000
                      5.601448                     18.184774                      1.005613                     18.212559                    100.000000                     -3.165217                      0.000000
